# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch10,25.5,22.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch11,25.5,22.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch12,25.5,22.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch13,25.5,22.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch14,25.5,22.5,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 5G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch184,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch188,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch192,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch196,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch8,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch12,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch16,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch36,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch40,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch44,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch48,26.5,23.5,0,0,26.5,23.5,0,0,23.5,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0,26.5,23.5,0,0,23.5,0,0,0,0,0,26.5,22.5,0,0,23.5,0,0,0,0,0
Ch52,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch56,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch60,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch64,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch68,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
Ch72,24,21,0,0,24,21,0,0,21,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0,24,21,0,0,21,0,0,0,0,0,24,20,0,0,21,0,0,0,0,0
